Name
FileAndStorage-Services
Storage-Services
Web-Server
Web-WebServer
Web-Common-Http
Web-Default-Doc
Web-Dir-Browsing
Web-Http-Errors
Web-Static-Content
Web-Health
Web-Http-Logging
Web-Performance
Web-Stat-Compression
Web-Security
Web-Filtering
Web-Basic-Auth
Web-Windows-Auth
Web-App-Dev
Web-Net-Ext
Web-Net-Ext45
Web-AppInit
Web-ASP
Web-Asp-Net
Web-Asp-Net45
Web-ISAPI-Ext
Web-ISAPI-Filter
Web-Includes
Web-WebSockets
Web-Mgmt-Tools
Web-Mgmt-Console
Web-Mgmt-Compat
Web-Metabase
Web-Lgcy-Mgmt-Console
Web-Lgcy-Scripting
Web-WMI
NET-Framework-Features
NET-Framework-Core
NET-HTTP-Activation
NET-Non-HTTP-Activ
NET-Framework-45-Features
NET-Framework-45-Core
NET-Framework-45-ASPNET
NET-WCF-Services45
NET-WCF-HTTP-Activation45
NET-WCF-TCP-Activation45
NET-WCF-TCP-PortSharing45
FS-SMB1
Telnet-Client
Windows-Defender-Features
Windows-Defender
PowerShellRoot
PowerShell
PowerShell-V2
PowerShell-ISE
WAS
WAS-Process-Model
WAS-NET-Environment
WAS-Config-APIs
WoW64-Support
