Path,Nameapp,Setup
C:\Users\Administrator\Desktop\ArcMateImagingService_2022-12-10\Setup.msi,imaging,ArcMate Imaging Service
C:\Users\Administrator\Desktop\TarasolSiteV42022-12-15\TarasolSiteV42022-12-15\Tools\Themes\Setup.msi,theme,ArcMate Themes
C:\Users\Administrator\Desktop\TarasolSiteV42022-12-15\TarasolSiteV42022-12-15\TarasolSiteSetup.msi,tarasol,Tarasol4

